,评论等级,评论人网名,评论内容,点赞数,回复数,评论时间,评论人性别,评论人个性签名,评论人账户等级,评论人是否会员
0,一级评论,GW-01多功能战斗机,"动画里出现的历史事件1.      37秒左右，西方殖民者掀起了瓜分中国的狂潮
2.      45秒左右，瓜分中国时有人画的《时局图》
3.      1分钟左右，日俄战争
4.      1分18秒左右，日俄战争期间，清政府宣布中立
5.      1分24秒左右开始，各种割地赔款条约签订
6.      1分50秒左右，辛亥***（剪发易服）
7.      2分左右，改组GMD及第一次国共合作
8.      2分21秒左右，第一次国共合作破裂
9.      2分42秒左右，918事变及满洲国成立
10.    2分50秒开始，抗战初期节节败退
11.    3分33秒左右，二战及欧洲战场及美国先欧后亚战略
12.    3分40秒左右，第二次国共合作
13     3分49秒左右，战争相持
14.    4分12秒左右，战略反攻
15.    4分26秒左右，美军在太平洋战场取得突破
16.    4分36秒左右，长崎广岛原子弹爆炸
17.    4分47秒左右，抗日战争结束及国共谈判
17.    4分50秒左右，国共合作第二次破裂
18.    4分55秒左右，解放战争及秃头败退台湾
19.    5分34秒左右，开国大典
大概就是这样了，如果有什么不对和遗漏，来咬我啊 ",9518,57,2015-03-07 23:45:42,男,米格战斗机准备出击！,6,大会员
1,二级评论,王子可,咬 你(〜￣△￣)〜,47,0,2015-03-07 23:56:52,保密,足踏不是峰  仰首又一巅,6,大会员
2,二级评论,B站特约评论员,武装保卫苏联呢？,22,0,2015-03-09 02:52:37,保密,,5,年度大会员
3,二级评论,喵不哭,又复习了一遍近代历史  为什么是又。。,79,0,2015-04-14 17:57:19,保密,,5,大会员
4,二级评论,星期天的彩虹糖,棒！！,4,0,2019-05-05 21:47:00,保密,重要的事重要的人有很多，罗云熙算一个,3,无
5,二级评论,I千钧一发I,本集为全(华夏)近代史梗概，后面大概是第4–1–番外–2–3季(没说错应该是)。,62,0,2019-05-12 00:02:01,保密,bilibili个人认证: 这东西好像可以骗人,4,大会员
6,二级评论,紫蝠,我看种花家就必须得照着这种评论看[蛆音娘_扶额],49,0,2019-05-22 01:14:42,男,,5,年度大会员
7,二级评论,水手喵喵,初二历史,5,0,2019-06-20 08:01:16,保密,,4,大会员
8,二级评论,身随影止,999,0,0,2019-06-21 17:20:54,男,yrt,3,大会员
9,二级评论,创党元老,回复 @紫蝠 :抱歉，表示看着没压力,1,0,2019-07-01 21:23:40,男,,3,无
10,二级评论,流星快停下,回复 @喵不哭 :因为要考了,1,0,2019-07-04 13:20:13,保密,,3,无
11,二级评论,溪念归,大伙们把他顶上一楼[微笑][滑稽][点赞][画风突变],1,0,2019-07-11 14:06:56,女,dream  it  possible,2,无
12,二级评论,御绫军_风仙,初二的历史啊....怀念,1,0,2019-07-26 03:31:01,保密,支持V家! 永远支持绫绫! 乐正集团的姑娘最可爱了！,3,无
13,二级评论,Ly洛伊尔雅dn,兄弟们，你们有注意到，上述仅仅是一集啊,22,0,2019-08-04 02:50:06,男,,4,年度大会员
14,二级评论,小银宇,谢谢,0,0,2019-08-11 13:23:25,保密,,4,无
15,二级评论,amour668,那么，后面这么多集都有这种科普吗？,5,0,2019-09-06 23:08:24,保密,,4,无
16,二级评论,好起来了好起来了,上去,0,0,2019-09-12 12:45:49,保密,,4,大会员
17,二级评论,breadtoo,太厉害了,0,0,2019-09-15 13:21:52,保密,B站太好玩了,2,无
18,二级评论,一顆蛀牙,好强,0,0,2019-09-22 16:49:18,女,biu～,5,年度大会员
19,二级评论,灼灼光辉,辛苦了，中国牛逼,2,0,2019-10-02 08:39:56,保密,,3,大会员
20,二级评论,春日泥泞,👍👍辛苦了,0,0,2019-10-02 09:49:35,保密,跨过星河迈过月亮去迎接更好的自己,5,大会员
21,二级评论,南瓜叶耶耶叶,你好棒啊啊啊啊,1,0,2019-10-02 15:20:34,女,地生会考双A,4,无
22,二级评论,晨晓絮风,你是男孩还是女孩？女的我可要咬你嘴唇了啊[微笑],1,0,2019-10-04 06:58:09,保密,,4,年度大会员
23,二级评论,I千钧一发I,回复 @I千钧一发I :补充一下，古代史是《如果历史是一群喵》，近代史是《那年那兔那些事》(肥志说过未来只更新到清朝，分界线很明确了)——2019.10.6,7,0,2019-10-06 00:09:47,保密,bilibili个人认证: 这东西好像可以骗人,4,大会员
24,二级评论,爱熬夜的臭熊猫,回复 @I千钧一发I :开国大典后就是现代史了吧,1,0,2019-10-16 13:22:05,保密,退网一段时间，等我……,3,无
25,二级评论,小谦米菠萝宝,谢谢你，作为一个理科生也能好好有趣地了解我们中国的历史了，。谢谢你,1,0,2019-10-18 22:09:28,保密,,3,无
26,二级评论,I千钧一发I,回复 @爱熬夜的臭熊猫 :是的，但古近代基本上就是这两个漫画分界线了,0,0,2019-10-19 19:22:47,保密,bilibili个人认证: 这东西好像可以骗人,4,大会员
